sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
0.029695707,-1.363538598,0.243529245,0.573232053,32.48918319,12.0244,9.6351
1.688216548,0.446038545,0.104311428,-1.005174295,32.4885801,11.8583,9.5089
-0.168649592,1.610690545,-0.511644924,1.387023733,32.48945114,11.7341,9.4253
0.936883521,1.03012033,1.380355397,-1.684294879,32.48616367,11.6708,9.3947
1.693036311,-0.954931986,0.046157735,1.875144449,32.47312528,11.6705,9.4108
-0.465042615,-2.631527958,-2.409284858,-1.903962465,32.45697515,11.7097,9.4437
2.054479479,-2.381852228,0.964771605,1.710322588,32.48657223,11.7589,9.4616
1.006888748,-1.335558197,2.165617179,-1.348465949,32.49397963,11.8138,9.4712
0.37598411,-0.704003516,-1.5531329,0.919556244,32.48416528,11.8732,9.4863
2.30592259,-0.918086389,-1.221828396,-0.465181905,32.47299666,11.9172,9.5042
0.557658751,-1.553099622,1.580595636,0.025518109,32.4638566,11.9204,9.5127
1.353938498,-1.838870554,0.260838701,0.359972014,32.45421203,11.8899,9.5109
2.007795417,-1.382213452,-1.173631778,-0.660199734,32.45180011,11.8463,9.5054
0.741905826,-0.632011745,0.269286521,0.837705535,32.46080854,11.8064,9.4984
2.00908175,-0.406482033,0.600059142,-0.899129837,32.47410438,11.7783,9.4871
1.794414177,-0.878053347,-0.332904142,0.855383944,32.48510726,11.7676,9.4785
1.243300377,-1.28584704,-0.214769967,-0.720679123,32.49971679,11.7818,9.4843
2.316197765,-0.817742719,0.105551026,0.51244364,32.52481865,11.8298,9.5179
1.830813054,0.438426842,0.043450196,-0.290508593,32.55719147,11.9177,9.5888
1.782465084,1.528838402,0.115218402,0.10769355,32.56659365,12.0363,9.6893
2.529190141,2.212840667,0.142177343,0.034233531,32.58351201,12.1733,9.807
1.821867876,2.383797887,-0.422351967,-0.144910115,32.60170926,12.3161,9.93
2.393253121,2.26523914,-0.199153031,0.219350125,32.61415455,12.4538,10.0484
2.466835647,2.154489394,0.662528384,-0.237009449,32.60793159,12.5813,10.1608
2.03760365,2.394999564,0.279611073,0.224290938,32.59748915,12.6947,10.2679
2.628064473,2.7951254,-0.781498583,-0.198696081,32.58480866,12.7902,10.3707
2.382298937,2.870458791,-0.282984622,0.179326394,32.56274091,12.8633,10.467
2.269149244,2.490032721,0.7999762,-0.162926935,32.53560856,12.9068,10.5422
