sub1,sub2,sub3,sub4
41.79740613,-151.7308943,284.5006301,5763.722858
32.843971,-124.0240761,269.3574809,5775.422624
5.41240789,-92.95660383,252.0931661,5786.46103
-11.97968779,-60.02678269,232.9107527,5796.825718
-39.09541443,-26.70885688,212.0397979,5806.504473
-64.05952953,5.640289792,189.7339671,5815.485273
-60.80482838,35.8602218,166.2682756,5823.756331
-64.73789978,63.04576333,141.9359843,5831.306152
-52.31009368,86.58133376,117.0451819,5838.123578
-41.03178637,106.1488546,91.9150941,5844.197838
-23.57045956,121.7096996,66.87216284,5849.518597
-13.53548997,133.4635387,42.24594287,5854.076008
-2.794655408,141.7890293,18.36486765,5857.860758
8.131005764,147.1729387,-4.448062492,5860.864118
16.99635137,150.1352734,-25.8796134,5863.077989
37.83742752,151.1582369,-45.6306144,5864.49495
72.76553948,150.6263164,-63.42016168,5865.108306
93.55400218,148.7835392,-78.98967008,5864.912129
93.84334562,145.7120671,-92.10671645,5863.901304
127.8330609,141.3339879,-102.5686194,5862.071571
151.1004939,135.4356447,-110.2057026,5859.419564
-117.2700359,127.7113761,-114.884193,5855.942853
-115.0526419,117.821372,-116.5087068,5851.639977
-113.0329204,105.4567232,-115.024285,5846.510482
-90.30084857,90.40383413,-110.4179399,5840.554954
-70.28565815,72.60029519,-102.7196853,5833.775048
-51.08559861,52.17510675,-92.00302556,5826.173517
-29.52710141,29.46774893,-78.38488683,5817.754239
-15.79011318,5.022855651,-62.0249816,5808.522239
-7.319063736,-20.4400435,-43.12460303,5798.48371
6.838204133,-46.07938164,-21.92485479,5787.646032
28.9084978,-71.00195534,1.295671509,5776.017786
39.06101255,-94.34352931,26.22375111,5763.608766
50.94586779,-115.3507419,52.51488624,5750.429988
58.24392791,-133.454763,79.79713727,5736.493698
58.29879203,-148.327548,107.6753839,5721.813372
57.74328216,-159.9129703,135.7359696,5706.403719
51.19515011,-168.4274984,163.5516757,5690.280673
42.20985265,-174.3282117,190.6869685,5673.461391
44.32181381,-178.2495085,216.7034555,5655.964239
-23.14075646,-180.9135119,241.1654852,5637.808783
-74.01907854,-183.0225116,263.6458226,5619.015768
-81.53399052,-185.1444352,283.7313277,5599.607098
-76.31040249,-187.6039807,301.0285653,5579.605818
-66.68292185,-190.3924345,315.1692754,5559.036081
-54.8205308,-193.1082215,325.8156302,5537.923122
-33.34052568,-194.9379074,332.6652093,5516.293224
-20.45544588,-194.6838596,335.4556252,5494.17368
-8.021136026,-190.8403573,333.9687358,5471.592758
12.90100486,-181.7150392,328.0343826,5448.579652
29.26960365,-165.5876494,317.5336032,5425.164443
43.30429308,-140.893605,302.401266,5401.378046
58.03617951,-106.4164302,282.6280883,5377.252162
57.9597723,-61.47099656,258.2620012,5352.819223
54.76789227,-6.059060988,229.4088356,5328.112333
54.02240903,59.02006882,196.2323091,5303.165213
53.76673795,132.1178198,158.9533054,5278.012137
40.72063919,210.7530495,117.848443,5252.687868
25.83361992,291.7008429,73.24794141,5227.227596
-3.930362177,371.1506976,25.53280132,5201.666863
