sub1,sub2,sub3,sub4,sub5
-115.3134925,175.0527844,1804.610891,313.8146788,3623.205138
-63.96841751,162.3858129,1819.952027,317.25183,3625.788747
-28.70612557,143.8742937,1834.377383,320.6434093,3628.371039
-42.03722212,118.8524906,1847.863727,323.9890398,3630.951965
-48.15625093,88.86504135,1860.391389,327.2883447,3633.531476
-154.4635091,64.31151457,1871.941524,330.540947,3636.109524
-92.83098433,54.53316921,1882.495286,333.7464699,3638.686059
-50.09749216,55.91563193,1892.03629,336.9045363,3641.261034
-43.55909425,62.11193425,1900.557992,340.0147693,3643.834399
-50.01113149,67.48123738,1908.056996,343.0767922,3646.406106
-54.46177433,68.49341486,1914.532025,346.0902279,3648.976106
-44.11165229,61.82266865,1919.979933,349.0546996,3651.544351
-20.95706914,44.07951461,1924.396933,351.9698303,3654.110791
-3.116335652,14.83647555,1927.779238,354.8352431,3656.675379
25.03007175,-14.31176002,1930.123062,357.6505611,3659.238065
31.31818516,-32.21701211,1931.424619,360.4154074,3661.798801
32.69156208,-45.05862616,1931.680121,363.1294051,3664.357538
58.59864252,-57.1108301,1930.885751,365.7922093,3666.914227
59.54285318,-54.90283857,1929.037508,368.4036578,3669.46882
69.13917456,-48.81541999,1926.131119,370.963858,3672.021268
85.51905566,-54.49581129,1922.162188,373.4730454,3674.571523
117.599816,-73.24711995,1917.126297,375.9314722,3677.119535
147.066922,-99.84060025,1911.019041,378.3393812,3679.665256
174.4523774,-125.9740438,1903.836015,380.6970133,3682.208638
191.55243,-143.1594866,1895.572816,383.0046095,3684.749631
190.0832025,-144.5306886,1886.226888,385.2624105,3687.288187
180.4464139,-125.6892381,1875.807909,387.4706573,3689.824258
170.0854576,-91.33957849,1864.346736,389.6295906,3692.357794
141.6684111,-51.91687681,1851.880267,391.7394514,3694.888747
100.5772994,-18.89507237,1838.450224,393.8004804,3697.417069
113.6376317,-4.822794731,1824.099535,395.8129186,3699.94271
145.4727864,-18.8365429,1808.871128,397.7770068,3702.465621
-99.36077768,-46.62589616,1792.807932,399.6929858,3704.985756
-79.25413381,-67.86290184,1775.952876,401.5610965,3707.503063
-81.76048883,-66.07747356,1758.348887,403.3815798,3710.017496
-85.78293944,-41.69963515,1740.038893,405.1546765,3712.529005
-105.5875389,-4.026453867,1721.065824,406.8806275,3715.037541
-132.0530015,39.73766409,1701.472607,408.5596736,3717.543056
-155.8822243,83.65249522,1681.302172,410.1920556,3720.045502
-181.0677993,121.8765752,1660.598381,411.7780145,3722.544829
-198.7323184,148.5646968,1639.408842,413.3177911,3725.040988
-193.7396723,160.0920155,1617.782098,414.8116263,3727.533932
-168.0841862,161.2541212,1595.766693,416.2597608,3730.023612
-145.9179882,156.8844072,1573.411168,417.6624355,3732.509978
-116.399534,150.162594,1550.764067,419.0198914,3734.992982
-88.92882634,144.3309603,1527.872921,420.3323693,3737.472575
-68.71642623,141.8463881,1504.781218,421.6001099,3739.94871
-49.12355364,142.3195893,1481.529274,422.8233542,3742.421336
-35.11149374,144.6709406,1458.147804,424.0023431,3744.890406
-23.25232781,148.1289617,1434.660178,425.1373173,3747.35587
-1.164673945,152.7764118,1411.082063,426.2285178,3749.817681
-49.2768045,157.2223977,1387.422433,427.2761853,3752.275789
-79.19121722,158.111587,1363.688924,428.2805608,3754.730145
-62.23013559,152.5783731,1339.889175,429.2418851,3757.180702
