IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,Res
5.141341007,0.886208894,-0.035734898,-0.242432841,-0.326931111,-1.211966297,0.628221172,0.950733163,1.428380975,0.111809936,26.73037
5.13537437,0.888556207,-0.020821503,-0.17545099,-0.485894123,-0.714267232,0.375861893,0.618343179,1.389376778,-0.309092015,26.71801343
5.129364046,0.890903822,-0.00611783,-0.105140555,-0.653842535,-0.155996642,0.043130334,-0.012060114,0.018303364,1.305801049,26.70565506
5.122824468,0.893343918,0.010281317,-0.037375715,-0.791979035,0.259830696,-0.16012509,-0.347106466,-0.471062391,-1.252045464,26.69341376
5.115724978,0.895882834,0.028487493,0.027628356,-0.898395382,0.497906631,-0.227579501,-0.385204683,-0.213484854,0.357736783,26.68129735
5.108263606,0.89848195,0.047736458,0.092038378,-0.98771458,0.687964734,-0.246978273,-0.439673216,-0.782140292,0.34276447,26.66925677
5.100304974,0.90116709,0.068556595,0.15426606,-1.049229732,0.768353343,-0.163922219,-0.376165556,-1.830025153,-1.330630646,26.65732524
5.092166445,0.90387915,0.089683979,0.218485506,-1.109559869,0.823144673,-0.126630657,-0.324045147,-1.123195981,1.260646161,26.64542574
5.083857657,0.906616225,0.111080449,0.284818884,-1.169355847,0.860627058,-0.143676662,-0.307891717,1.318352404,-0.127984314,26.63355586
5.075098002,0.909431145,0.133852738,0.349768347,-1.205665083,0.782830794,-0.094897513,-0.157760372,2.38456335,0.390994519,26.62178407
5.065946962,0.912312856,0.157762475,0.414142291,-1.223476623,0.605164893,-0.011922239,0.099685987,2.387019696,-0.576732252,26.61009595
5.056695704,0.915204357,0.18168979,0.481064154,-1.244235019,0.531867475,-0.017669072,0.207369248,0.785971547,2.443622556,26.59841926
5.047329789,0.918108221,0.205692404,0.550340141,-1.266579345,0.565627037,-0.109489674,0.170200131,-3.170455276,-7.916625403,26.58675745
5.037743345,0.921045548,0.230170231,0.620963756,-1.283073612,0.616344368,-0.250724182,0.097205606,-3.092692059,7.327879993,26.57513701
5.028001717,0.924003466,0.254872004,0.69363492,-1.298425983,0.734324457,-0.472051149,-0.070988705,1.110936276,0.14215131,26.56354169
5.017850742,0.927031091,0.280781916,0.765508995,-1.293175624,0.772686211,-0.671521403,-0.085532025,1.867961017,-2.463625131,26.55203421
5.007271138,0.930132177,0.307972892,0.836400893,-1.265854477,0.719831164,-0.845724607,0.076160688,0.210414136,-0.587223366,26.54061936
4.996438643,0.933272538,0.335765371,0.908260678,-1.229628184,0.689618611,-1.071647733,0.246306501,-0.348580238,1.270940147,26.52925367
4.985292002,0.936463992,0.364395738,0.980417115,-1.179767852,0.648232578,-1.328060607,0.487646268,-0.980452431,0.687880965,26.51795223
4.974210375,0.939636561,0.392345141,1.058031772,-1.14935964,0.646367979,-1.397918547,0.514846077,-0.650384568,-1.164398527,26.50662338
4.9632463,0.942780359,0.419404639,1.141792049,-1.142740643,0.701387362,-1.268228649,0.288255561,1.113765373,-0.264916642,26.49525429
4.952173793,0.945937471,0.446471868,1.22875933,-1.140628916,0.764859779,-1.026404488,-0.006563409,1.080026474,0.311468239,26.48389986
4.941103184,0.949087487,0.473104534,1.320441343,-1.152584254,0.854378917,-0.612124667,-0.450341842,-0.578370524,1.422772445,26.47253338
4.929852117,0.952263676,0.500036642,1.414291385,-1.162183419,0.966787111,-0.17069255,-0.662969554,-0.703979216,-1.424604934,26.46119874
4.918403721,0.955469181,0.527333877,1.510113874,-1.16797459,1.098995993,0.29339644,-0.601094922,0.24139005,-0.365933686,26.44990006
4.906947111,0.958669246,0.554235875,1.61053402,-1.186636705,1.268985257,0.906986819,-0.515782291,0.303180363,1.124288612,26.43859169
4.895446011,0.961870488,0.58088755,1.715064901,-1.214887698,1.476767023,1.642553979,-0.305152461,-0.088803654,-0.831028513,26.42728237
4.883558329,0.965136775,0.608646118,1.81928647,-1.223719365,1.641255792,2.053189548,-0.146311017,-0.125046044,0.747948128,26.41605527
4.871280479,0.968468843,0.637523491,1.92319405,-1.212889563,1.759017698,2.112597353,-0.067871113,-0.047047093,-1.039185428,26.40491128
4.858754396,0.971840091,0.66695604,2.028630455,-1.194285234,1.869913338,2.015250432,0.101953717,-0.036756895,0.853927778,26.39381588
4.845894941,0.975266434,0.697280226,2.134519439,-1.160697209,1.953324159,1.639439455,0.319493321,-0.003608548,-0.103702,26.38278978
4.832952041,0.978701371,0.727499749,2.244175365,-1.133485573,2.061534306,1.28003513,0.466978284,-0.039872632,-0.140290378,26.37177234
4.819942546,0.98214176,0.757546272,2.357842694,-1.11406327,2.199198346,0.951359938,0.554290239,-0.165582281,-0.153435706,26.36075946
4.806671823,0.985623883,0.788192171,2.473003081,-1.085850829,2.323325466,0.399216196,0.605457322,0.106185385,0.218377057,26.34979844
4.793195695,0.98913736,0.819213754,2.590417685,-1.053612459,2.445874768,-0.31721044,0.593517727,0.792386967,-0.021796806,26.33887575
4.780085642,0.992534863,0.84720567,2.688887397,-1.021109146,2.494908951,-0.732862166,0.463431024,0.520783946,0.018304549,26.32782927
4.76737846,0.995805346,0.871903514,2.765968532,-0.986855748,2.457989137,-0.836817823,0.201354716,-0.704424333,-0.238949487,26.31664768
4.754846505,0.999010345,0.894739584,2.83212951,-0.952462462,2.377207702,-0.811979945,-0.192505288,-0.875784331,0.339401167,26.30539721
4.742650334,1.002108056,0.914744215,2.881137819,-0.918522997,2.230157744,-0.537665513,-0.742714672,-0.168726827,-0.30720024,26.29403208
4.730415929,1.005191554,0.934050408,2.924548669,-0.878866215,2.048017244,-0.353082596,-0.942486982,0.191313796,0.458241702,26.28265649
4.718134149,1.008263343,0.952714621,2.962823293,-0.833579247,1.832460636,-0.275161729,-0.754247506,0.541904323,-0.464585014,26.27127313
4.70613778,1.011238836,0.968786024,2.984468008,-0.786171964,1.54695385,-0.031400479,-0.445434967,0.398507197,0.707127421,26.25978829
4.694358248,1.014134962,0.98265022,2.99152007,-0.735350189,1.196413411,0.306917893,0.118995762,-0.448318978,-1.949542412,26.24822101
4.682456447,1.017044165,0.996465471,3.000135749,-0.684375352,0.850034691,0.402977792,0.398974125,-0.447727337,1.457343876,26.23667037
4.670451368,1.019961985,1.010128784,3.009934482,-0.633834399,0.507564744,0.257177377,0.342579459,0.319962999,1.530941961,26.22513124
4.65846834,1.022853105,1.022807669,3.014160002,-0.581236468,0.137450483,-0.019231663,0.325683842,0.323824144,-1.818345813,26.21356636
4.646432741,1.025738076,1.034981335,3.016529181,-0.527515993,-0.244048408,-0.512406053,0.211959424,-0.213789872,-1.039878086,26.20199766
4.634644888,1.02853686,1.044785624,3.004058533,-0.471766782,-0.68903816,-0.956093778,0.119122809,-0.222345102,1.547756655,26.19033845
4.623129192,1.031242817,1.052063519,2.975617274,-0.413756224,-1.202478415,-1.340776535,0.084670732,0.101685538,0.450020466,26.17858164
4.611681348,1.033911,1.058096561,2.940491942,-0.354733211,-1.745953755,-1.873437057,-0.058778911,0.138483338,-1.046547792,26.16678654
4.600375128,1.036521765,1.062425819,2.89551954,-0.294482212,-2.332218792,-2.499168621,-0.280293257,0.022959581,0.19342917,26.15493188
4.588748456,1.039189027,1.067663827,2.854287743,-0.224186776,-2.781716392,-2.741982966,-0.337697854,0.047632995,0.024916155,26.14314578
4.576739612,1.041928458,1.074170305,2.818946233,-0.143156395,-3.072682424,-2.579240343,-0.233688529,0.13651447,0.389022979,26.13144563
