IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,Res
-0.341755877,-0.983413647,-0.266724073,1.243885951,1.093782295,0.298004312,-0.365573754,-0.424838393,0.520219033,0.761783158,-0.838286636,32.91362692
0.340163039,0.264708185,-0.97927605,-0.353052722,0.629215731,1.168434521,0.541701227,0.118524285,0.891674774,0.861262222,-0.795477359,32.93247476
-0.306569403,0.524982806,0.891865856,-1.166591955,-0.386119734,1.48850752,1.270441927,0.597203254,1.230672826,0.943843486,-0.759830716,32.9437698
0.26743705,-0.932926661,0.245449743,0.006893746,-0.848926227,1.153533338,1.678410072,0.965162062,1.522491603,1.003591149,-0.736058342,32.9430046
-0.221859405,0.808483841,-0.880809586,1.031289108,-0.331404962,0.377630672,1.73311945,1.214678274,1.774608056,1.053541177,-0.711118926,32.94289902
0.165854219,-0.312677687,0.338314104,0.241047584,0.468727808,-0.484732483,1.460358353,1.338281916,1.983748488,1.095791221,-0.68253549,32.94584282
-0.108218819,-0.248964971,0.464582717,-0.86068173,0.600771749,-1.099749069,0.930046062,1.331026487,2.139261678,1.125116532,-0.654625837,32.94773179
0.056872092,0.595024247,-0.505140589,-0.410787198,-0.025773975,-1.263072617,0.248003924,1.198182399,2.229997767,1.134755249,-0.633175852,32.94308486
-0.000853491,-0.587529309,-0.023893172,0.683116616,-0.576371518,-0.9424813,-0.45695126,0.958895254,2.247653873,1.118469762,-0.623916495,32.92632625
-0.038692107,0.338962847,0.346085067,0.552361644,-0.306624282,-0.249960883,-1.037683745,0.658645735,2.199948741,1.082251207,-0.621536986,32.90243091
0.060241545,-0.021530376,-0.151174981,-0.45403987,0.494117636,0.585753691,-1.362081706,0.361529068,2.109554114,1.044141195,-0.609515016,32.88724175
-0.093360238,-0.264021173,-0.15985267,-0.652762184,0.744517033,1.222091759,-1.389665472,0.103345942,1.980382814,1.004722431,-0.587639744,32.88087906
0.149478492,0.433504909,0.104545505,0.167499972,-0.068880988,1.337637521,-1.174125726,-0.115820885,1.793238098,0.942527095,-0.576781672,32.86288621
-0.21774371,-0.412139743,0.172844608,0.704866697,-1.016413764,0.89057698,-0.74739491,-0.251344757,1.578126197,0.881005292,-0.554726869,32.85503794
0.272647725,0.176756125,-0.166393187,0.087334858,-0.885295262,0.021981134,-0.218681782,-0.311600865,1.329045029,0.809403425,-0.53221711,32.84680122
-0.302545359,0.173917493,-0.191071468,-0.665023941,0.405760325,-0.916090293,0.310456195,-0.302195134,1.054617002,0.730913721,-0.506196105,32.84139598
0.294833524,-0.476082131,0.321759155,-0.347252827,1.486496042,-1.530752405,0.730436216,-0.257331457,0.746357663,0.632206293,-0.489605993,32.82634913
-0.218062474,0.592661334,0.114004827,0.554265564,1.026088104,-1.510972323,0.978275801,-0.206461873,0.403436988,0.505666745,-0.490436944,32.79384302
0.099419093,-0.375973826,-0.452180858,0.645518435,-0.648924049,-0.750470106,1.072361983,-0.145970305,0.053032863,0.367509368,-0.494844093,32.75700583
0.033884684,-0.12470865,0.104410876,-0.295587536,-1.793881296,0.511465859,1.064485646,-0.057324309,-0.263634239,0.247236792,-0.476222832,32.7415033
-0.205145937,0.582451412,0.406831887,-0.944243078,-1.168092187,1.646783828,0.924984862,0.017474033,-0.556628658,0.128951707,-0.450750162,32.73148743
0.4086507,-0.705585169,-0.335342917,-0.134459384,0.710496356,2.025036946,0.624776971,0.041704721,-0.832904285,0.001683504,-0.429235191,32.71668719
-0.622880363,0.410473447,-0.219342577,1.088402309,2.005314611,1.377336436,0.170984242,-0.002159354,-1.090472502,-0.136775659,-0.414223943,32.69488256
0.842206612,0.155056623,0.478185807,0.663720242,1.332071721,-0.058187907,-0.405799093,-0.135826618,-1.343438351,-0.304111574,-0.423735791,32.64845014
-0.986330721,-0.577188397,0.037561748,-0.922402171,-0.688429903,-1.547044395,-0.982097651,-0.333877086,-1.580494971,-0.496642352,-0.456799196,32.57768946
