IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,residual
-77.26578703,424.2577428,139.3468708,112.7862147,404.9566484,-129.4466647,139.9171779,20.91618536,-50.78374276,3.205529115,8.610307097,3083.519518
-76.06637488,426.0702694,140.5998204,144.2939397,401.8842859,-145.330909,237.9374798,49.32429011,-15.78330849,26.91600467,-6.745204611,3085.429707
-74.90390315,427.706125,141.5175223,176.9321983,399.7710101,-158.3125807,306.4457831,63.64104247,2.870706514,14.54237616,5.519402894,3087.310317
-73.78077693,429.1543242,142.0756602,210.7646857,398.6838016,-168.1054104,339.4313883,63.14138617,0.834427674,-24.26899688,-6.500084546,3089.159595
-72.68217953,430.4905813,142.4224364,245.3938542,398.0209913,-176.23391,359.8712104,55.35563399,5.038140512,-33.27816557,4.192160309,3090.989247
-71.61808738,431.6622435,142.4588066,281.0893245,398.2184932,-181.6976335,356.1436419,35.08337517,6.79125909,-17.93585,2.853233128,3092.791194
-70.56554705,432.7955813,142.4114633,317.2271275,398.1558883,-186.6655704,345.8884266,16.36874537,18.56524215,-2.62537714,-4.140581509,3094.584602
-69.52383685,433.8943125,142.2877391,353.7881349,397.8006375,-191.2052069,330.4670053,-0.22796441,44.04773465,23.26699586,-0.605592954,3096.370041
-68.51342886,434.8479641,141.8850176,391.3274811,398.1014687,-193.3226604,290.4871459,-26.27840045,70.47046506,30.63322947,1.821056624,3098.130661
-67.53003379,435.6803119,141.2457097,429.7286298,398.8429887,-193.4140787,229.146758,-58.95062985,101.7237744,15.43455976,0.52194925,3099.870061
-66.55180102,436.5022513,140.5885518,468.4058482,399.1542555,-193.7834901,182.5277756,-73.97741906,96.05579472,-0.148419656,-2.148763934,3101.605417
-65.57974914,437.3079144,139.9037029,507.3873473,399.0876208,-194.3373387,150.7865786,-70.46855871,47.97285963,-23.81949269,1.413270633,3103.335845
-64.62194025,438.0577603,139.1102021,546.8884,398.9317091,-194.1830463,118.2361609,-58.05778552,-19.67823723,-24.86096162,-2.887424338,3105.055163
-63.67345356,438.7765983,138.257461,586.7774576,398.4916745,-193.8404255,93.62760621,-30.28605685,-119.2213336,1.536365028,9.246889395,3106.767217
-62.75319275,439.366628,137.1570719,627.5634177,398.5549502,-191.3553332,50.26569437,-4.358149791,-151.9586558,10.09624862,-7.395609846,3108.456931
-61.86260727,439.8205617,135.7946416,669.2853679,399.1748959,-186.5682108,-14.00302678,18.97524578,-108.5985911,7.170350722,-1.931795797,3110.123168
-60.98857346,440.2057495,134.3013624,711.5909615,399.8116192,-180.842284,-78.89700139,53.93361351,-47.14230996,3.189423637,5.161108449,3111.776331
-60.13564772,440.4986524,132.6319095,754.6030382,400.6520784,-173.7021844,-150.6485472,97.01956871,58.88041953,-9.639739302,-6.77233389,3113.412786
-59.27658656,440.851246,131.0546556,797.5790849,400.3190399,-167.7918484,-201.9284943,118.0165322,104.6948871,-9.555449212,0.491410103,3115.055523
-58.40756684,441.2843205,129.6075426,840.415615,398.6282592,-163.487668,-227.8836144,115.7769741,78.75775324,4.457993024,16.53268807,3116.707704
-57.54494539,441.7080994,128.1291863,883.5575681,396.3707842,-159.1734626,-245.9481228,102.2928415,53.81332945,16.87444508,-20.1454136,3118.35569
-56.68078677,442.1667813,126.6978715,926.7889214,393.14492,-155.6179249,-247.7630137,69.50026461,2.569407387,32.42585381,10.98153567,3120.00617
-55.82809349,442.5867004,125.1860604,970.4654645,389.6280255,-151.5700154,-244.5183168,38.71907376,-28.81484871,17.56168988,-8.003775644,3121.648036
-54.98809414,442.9612352,123.5817127,1014.620764,385.8743223,-146.9029686,-237.2695749,10.85843798,-31.26294225,-32.78468338,3.641515452,3123.280275
-54.14724596,443.3664896,122.0181266,1058.885362,381.1858607,-142.921355,-212.7970566,-31.77121779,-49.41014735,-54.50181257,-6.021382617,3124.914379
-53.30814091,443.7878733,120.4699523,1103.330318,375.6934048,-139.3713063,-173.0989691,-84.85788554,-70.97114468,-53.08143315,30.77918919,3126.548142
-52.49558207,444.089731,118.6922533,1148.629759,370.5878667,-133.7909079,-145.8827319,-115.0692827,-65.67950875,-29.70631293,-17.78622481,3128.160941
-51.7098553,444.2708387,116.6822281,1194.791428,365.8729628,-126.1423697,-131.4772623,-121.4394563,-35.5263323,30.13497759,-42.61973157,3129.752573
-50.94065096,444.3874145,114.5419235,1241.535654,361.0532862,-117.4464264,-117.5514617,-116.9454506,14.77791959,89.97058135,52.83562307,3131.331588
-50.19415325,444.4057924,112.2103171,1289.030585,356.4203099,-107.0837663,-110.8940366,-92.81619123,92.67479009,153.7380775,-14.27458547,3132.89286
