sub1,sub2,sub3,sub4,sub5
879.0644837,-44.30032392,-293.3603017,49.71776533,3798.675997
917.4763308,-96.82386538,-268.3873222,11.60984581,3805.112646
939.4777376,-101.4379604,-260.9144846,-27.18654144,3811.635367
964.907984,-55.19551067,-261.5823494,-65.15047679,3818.263707
1004.851057,5.926967255,-241.2707601,-101.725442,3824.822197
1020.559292,59.54800767,-191.0619475,-135.4374819,3831.337871
1047.775773,84.79029291,-140.9606651,-165.5863592,3837.662188
1087.782835,78.62546515,-126.2295422,-190.4300685,3843.86382
1089.8242,67.2947965,-147.1827906,-208.0819329,3850.061112
1135.836063,52.07256329,-170.7977643,-218.0351164,3856.131661
1149.358791,0.968205697,-169.9424735,-219.5017318,3862.064145
1173.229869,-75.8886397,-157.3395095,-211.0903564,3868.044019
1196.366242,-115.8522134,-170.6561679,-193.0614899,3873.99501
1226.308445,-98.59458444,-218.4758951,-165.0238625,3880.100794
1235.979157,-73.46315482,-264.3972662,-128.6455984,3886.2196
1261.440714,-21.43880549,-265.568636,-85.02935016,3892.43922
1300.471326,102.2107197,-227.5582355,-35.98145894,3898.79212
1280.794125,194.2228669,-199.5353469,14.90007451,3904.991739
1347.439481,118.5122756,-208.4631253,65.05652806,3910.959291
1337.013329,-48.96969219,-223.3689452,112.8357092,3916.717364
1349.860998,-116.126707,-194.9565175,159.403875,3922.825451
1401.910933,-77.98858922,-126.6856498,203.8032658,3929.416201
1384.82682,-46.95607852,-72.48709369,242.0668973,3936.011308
1418.300031,-15.99476812,-63.25566873,273.0685397,3942.688449
1439.283682,42.40811918,-74.63476305,295.404171,3949.360438
1449.175492,69.19609069,-63.89774976,308.1876146,3955.932449
1456.023361,31.04302919,-25.56136485,312.3360126,3962.570455
1496.75563,-21.60618435,2.957274,308.1784925,3969.210137
1485.802033,-27.4573342,-4.54252921,297.2674037,3975.978644
1505.976258,5.480103796,-29.52275224,280.8155529,3982.897799
1540.145005,17.52121093,-33.91517298,259.0066383,3989.757813
1519.427923,-18.46249949,-6.014981942,232.994783,3996.533461
1558.583513,-56.67947678,27.51423823,204.1817361,4003.229135
1559.507505,-38.55028157,38.79393632,174.0732558,4009.88191
1571.761541,15.12289594,34.27438626,143.360705,4016.381727
1576.930169,45.22367767,45.79610804,113.1777937,4022.742681
1598.575902,49.34459198,87.56366716,84.97691446,4029.098165
1596.730625,51.70253049,135.616754,58.17977317,4035.214828
1600.249819,38.64729087,161.3664172,32.56021962,4040.963631
1630.124955,-12.01951798,166.9160081,9.24201162,4046.508557
1601.504126,-64.12376761,175.6629671,-12.01160804,4051.721436
1636.327406,-54.19328395,202.991541,-29.44064337,4056.926549
1626.355439,-11.19272232,235.3557636,-43.29639523,4062.065251
1629.702151,5.595542398,252.4966454,-54.14265645,4067.068572
1639.058512,6.943913258,254.0320678,-62.03474826,4072.002386
1637.041636,17.21457672,254.9332588,-67.61251913,4076.824853
1638.827264,24.00588285,265.0212452,-71.29414418,4081.546041
1640.204509,19.15523707,279.3873577,-73.22745369,4086.231182
1643.355957,10.95130932,288.5320066,-73.76015152,4090.901287
1636.066971,-1.805061814,291.1656778,-72.91498107,4095.664534
1645.179179,-19.23809389,291.0518615,-72.40416124,4100.27328
1634.256826,-19.51202303,292.9611132,-72.77177053,4104.700806
1639.822148,-6.781850231,298.0228071,-73.94640448,4108.992585
1629.47877,-0.903531438,305.1092138,-75.32579806,4113.273333
1633.038238,6.186934893,312.7342755,-76.82159852,4117.550357
1627.19849,20.10355554,320.9038926,-78.11677669,4121.891862
1615.596713,17.68432398,330.0197483,-79.00516555,4126.378529
1627.824837,-0.094487098,340.3840384,-80.69382162,4130.826031
1604.473209,-8.499370397,355.0805976,-83.59759815,4135.239521
1609.180957,-23.82381406,373.3994535,-88.84068223,4139.451826
1601.862354,-43.00465986,389.1893885,-96.19711103,4143.552964
