sub1,sub2,sub3,100mspd,10mspd
0.424093734,-6.4418797,20.03144307,8.8344,6.6325
0.868189552,-7.043355784,20.10407899,8.8022,6.4949
0.4377422,-6.760447087,20.15108244,8.764,6.3524
-1.619292734,-4.794419558,20.12629012,8.72,6.2175
-0.678743785,-5.736515182,20.00072029,8.6717,6.1032
-0.893430883,-5.420584998,19.76841298,8.6219,6.023
2.781769607,-1.527849885,19.44608028,8.5764,5.9886
0.092528425,-1.71966841,19.06713999,8.5467,5.9953
0.440003869,-2.752128129,18.67212426,8.5434,6.0308
-1.690466895,-0.737814282,18.29828118,8.5734,6.0768
-0.982166643,-1.149061703,17.97122835,8.6376,6.1169
0.846599082,-2.027390721,17.70079164,8.7264,6.1632
0.250852439,-0.762742646,17.48189021,8.8295,6.238
0.530577025,-0.550448349,17.29987132,8.9384,6.3662
0.178782834,0.142761175,17.13845599,9.0451,6.5637
-0.353799662,1.866037654,16.98776201,9.1342,6.7991
0.084575173,1.995520714,16.84990411,9.1845,7.0237
-0.457573075,2.277163605,16.74040947,9.1723,7.1846
-0.386515112,3.151596541,16.68491857,9.0856,7.2436
-0.036153637,2.754131453,16.71202218,8.9579,7.2261
0.837473266,2.908295062,16.84423167,8.8325,7.173
-0.046228563,4.016553236,17.08967533,8.7491,7.1251
0.72786422,3.945145923,17.43698986,8.7388,7.1179
-0.710444846,3.675384046,17.8550608,8.7975,7.1581
-0.4616436,3.993670351,18.29797325,8.9085,7.2382
-0.403064917,3.588954904,18.71411001,9.0473,7.3412
-0.036601165,2.979438322,19.05716284,9.1853,7.4441
0.673102491,2.720672295,19.29622521,9.3025,7.5275
0.735526563,2.392188293,19.42228514,9.3841,7.5764
0.290283638,2.780405884,19.44931048,9.416,7.5763
-0.795309772,3.275808718,19.40950105,9.3902,7.5188
-0.768332798,2.544514741,19.34381806,9.326,7.4245
-0.453070084,2.162881462,19.29018862,9.2496,7.3213
0.384931315,2.642591091,19.27247759,9.1875,7.2377
0.977971519,2.23880881,19.29321967,9.1607,7.1951
0.834569262,1.463214238,19.3322165,9.1702,7.1861
-0.4079565,0.926324415,19.35163208,9.2109,7.1961
-0.692536395,-0.093992256,19.30652865,9.2783,7.2101
-1.138532398,-0.899770635,19.15830303,9.3675,7.2174
-0.349280926,-1.818317151,18.88759808,9.4725,7.2228
1.179398962,-3.352620189,18.50322123,9.5866,7.2355
1.541931806,-2.936376013,18.04444421,9.7035,7.2648
-0.03362972,-0.951973419,17.57560314,9.8213,7.3197
-0.644861136,-0.748944667,17.1738058,9.9586,7.4082
-1.877290853,-0.965033804,16.91232466,10.1386,7.5371
-0.495105225,-0.318362599,16.84346782,10.3837,7.7126
1.54932685,-1.444383741,16.98505689,10.7018,7.9324
1.175967397,-3.5799531,17.3139857,11.046,8.1614
0.223096718,-4.301908129,17.76881141,11.3539,8.3553
-0.463390821,-4.457882423,18.26127324,11.562,8.4685
-1.741540793,-4.062977814,18.69451861,11.6276,8.4732
0.061637935,-2.895777414,18.98413948,11.5924,8.4125
0.358803413,-2.666097202,19.07729379,11.5204,8.3481
0.741328573,-2.896754954,18.96542638,11.4765,8.3425
0.710280633,-2.437669201,18.68738857,11.5129,8.4426
0.021987028,-2.403805018,18.32181799,11.6274,8.6334
-0.755201947,-2.354828801,17.97003075,11.8032,8.8835
-0.924355574,-0.888505671,17.73286124,12.0216,9.1609
-0.397580313,0.611215216,17.6863651,12.2591,9.4326
0.832292576,0.595976763,17.86173066,12.4757,9.6641
1.14352946,-0.157538659,18.2340092,12.6285,9.8211
0.583551173,-0.66606543,18.72251426,12.6756,9.8698
-0.991839511,-1.221486732,19.20332624,12.5901,9.7905
-1.37729279,-1.894490669,19.53178346,12.4015,9.6188
-0.373175497,-1.107517774,19.57069327,12.1518,9.4037
1.309356619,1.371926936,19.21871645,11.8812,9.1933
0.874932654,2.721830726,18.43323662,11.6204,9.0221
0.281529983,2.655416302,17.24305371,11.3677,8.8729
-0.870799685,3.62258451,15.74821518,11.1142,8.7153
-1.504289406,4.21748285,14.10680656,10.8516,8.5186
0.790245011,3.02871246,12.51104253,10.5776,8.2661
0.583324957,3.039655298,11.15701975,10.3123,7.9958
0.480111354,4.2262696,10.21361905,10.0817,7.7597
-0.120298125,3.99422031,9.796077815,9.9119,7.6104
-0.504371911,3.605645547,9.948726363,9.819,7.581
