Power,100mspd,10mspd,Pre,Hum,Cloud,10mdir,Temp,Irra,Rain,100mdir
35.23,12.4255,10.1353,102378.0148,98.7544,1,22.9522,285.5178,239.7854,0.00036544,23.5294
33.54,12.5205,10.2207,102363.5313,98.9578,1,23.7941,285.5266,227.2711,0.00038147,24.2863
30.87,12.6466,10.3288,102349.0369,98.7879,1,24.6378,285.5194,206.4021,0.00040268,25.0629
30.56,12.791,10.4483,102335.2742,98.3557,1,25.3909,285.5012,180.8464,0.00042688,25.767
29.68,12.9367,10.564,102323.2552,97.819,1,25.9547,285.4787,155.4631,0.00045127,26.2986
30.14,13.0661,10.6605,102313.9922,97.3354,1,26.2379,285.4583,135.111,0.00047302,26.5648
29.52,13.1678,10.7286,102308.1443,97.0186,1,26.205,285.445,123.2966,0.00048999,26.5282
31.06,13.2563,10.7843,102304.9576,96.8067,1,26.0279,285.4359,118.116,0.00050258,26.3543
31.56,13.3521,10.8501,102303.3254,96.5938,1,25.9263,285.4269,116.313,0.00051183,26.2539
32.99,13.4753,10.9479,102302.1406,96.2741,1,26.115,285.4134,114.6311,0.0005188,26.432
33.62,13.6406,11.0924,102300.705,95.7774,1,26.7207,285.3925,110.4183,0.00052436,27.0119
32.69,13.8367,11.2647,102299.9548,95.1759,1,27.5592,285.3671,103.4401,0.00052873,27.8242
33.57,14.0442,11.4359,102301.2351,94.5775,1,28.386,285.3415,94.0662,0.00053195,28.6392
38.53,14.2404,11.5746,102305.8906,94.0902,1,28.9783,285.3201,82.6664,0.00053406,29.2446
37.24,14.4054,11.6564,102314.6933,93.8032,1,29.1898,285.3061,69.7018,0.00053513,29.4996
35.35,14.536,11.6911,102326.1224,93.7308,1,29.1188,285.2976,55.9991,0.00053534,29.4953
33.42,14.6343,11.6979,102338.0841,93.8689,1,28.9162,285.2917,42.4762,0.00053492,29.3714
36.9,14.7027,11.6961,102348.4844,94.2132,1,28.7304,285.2852,30.0511,0.00053406,29.262
34.84,14.7436,11.7007,102355.9387,94.7518,1,28.6787,285.2747,19.5015,0.00053303,29.2696
33.64,14.7623,11.7115,102361.8992,95.4416,1,28.7508,285.2548,11.0435,0.00053233,29.3821
35.88,14.7642,11.7246,102368.5273,96.2321,1,28.9044,285.2195,4.7527,0.00053249,29.5593
34.75,14.7552,11.7362,102377.9844,97.0727,1,29.0971,285.163,0.705,0.00053406,29.7618
32.61,14.7397,11.7427,102391.7685,97.9096,1,29.2919,285.0824,0,0.00053767,29.9546
34.29,14.7184,11.7427,102408.7243,98.6777,1,29.4698,284.9868,0,0.00054444,30.122
33.67,14.6911,11.7351,102427.0327,99.3087,1,29.6169,284.8883,0,0.00055555,30.2533
32.85,14.6574,11.719,102444.875,99.7343,1,29.7189,284.7989,0,0.0005722,30.3372
33.1,14.6168,11.6936,102460.7113,99.9134,1,29.7642,284.7279,0,0.00059547,30.3653
33.02,14.5678,11.6596,102474.1179,99.9134,1,29.7515,284.6719,0,0.00062587,30.3395
32.05,14.5088,11.6181,102484.9499,99.8287,1,29.6822,284.6251,0,0.00066376,30.2642
33.11,14.4381,11.5701,102493.0625,99.7539,1,29.5576,284.5811,0,0.00070953,30.1437
34.11,14.3565,11.5179,102498.5212,99.7579,1,29.3928,284.5356,0,0.00076304,29.9938
