sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
6.695966083,-0.282067998,4.457479625,0.801951917,26.23667037,12.2962,9.9752
6.700542137,0.193693344,4.540876443,0.599756836,26.22513124,12.2995,9.9946
6.704129114,-0.119961841,1.195814189,0.306452179,26.21356636,12.3197,10.0262
6.707152152,-0.985354273,1.976651095,-0.300446629,26.20199766,12.3601,10.0718
6.707967372,-1.383150044,4.551815188,-0.836970969,26.19033845,12.4255,10.1353
6.706435528,-1.514549101,3.42563774,-1.256105803,26.17858164,12.5205,10.2207
6.703688909,-1.962203628,1.89394415,-1.932215968,26.16678654,12.6466,10.3288
6.699322712,-2.603741423,3.08894871,-2.779461878,26.15493188,12.791,10.4483
6.69560131,-2.958270173,2.879203898,-3.07968082,26.14314578,12.9367,10.564
6.692838375,-3.079324349,3.207969212,-2.812928872,26.13144563,13.0661,10.6605
6.689646953,-3.324119924,2.29550248,-2.260783801,26.11975429,13.1678,10.7286
6.686680249,-3.619325491,3.119828319,-1.235291796,26.10810872,13.2563,10.7843
6.682850854,-3.353007162,2.514560531,-0.38085083,26.09644661,13.3521,10.8501
6.678044442,-2.523100128,2.485018838,0.265275077,26.08476177,13.4753,10.9479
6.673377898,-3.070406627,2.761146521,1.182764315,26.07311789,13.6406,11.0924
6.668625756,-5.018353906,2.750747406,2.22747854,26.0615022,13.8367,11.2647
6.6616817,-4.084614501,2.046737909,2.89639693,26.04979796,14.0442,11.4359
6.652508622,-0.386520401,3.03752379,3.18848453,26.03800346,14.2404,11.5746
6.641969405,-0.239929534,1.576892434,3.2349012,26.02616649,14.4054,11.6564
6.629530012,-3.160737412,2.966238742,2.900711003,26.01425765,14.536,11.6911
6.616700717,-3.248736042,1.420025927,2.629648009,26.00236139,14.6343,11.6979
6.603572927,-1.398989943,3.277732431,2.42720162,25.99048296,14.7027,11.6961
6.588946088,-0.837859492,1.160011585,1.950346068,25.97855575,14.7436,11.7007
6.573148177,-0.729257222,0.54424199,1.285268801,25.96659825,14.7623,11.7115
6.558096596,-0.424800617,3.043289074,0.748707902,25.95470705,14.7642,11.7246
6.54384293,-0.327829211,2.264727861,0.326374258,25.94288416,14.7552,11.7362
6.529713444,-0.057156413,0.284992061,-0.078646272,25.93109718,14.7397,11.7427
6.516221581,0.416900101,1.829100957,-0.39159452,25.91937188,14.7184,11.7427
6.501963969,0.614879661,1.348050324,-0.702530231,25.90763628,14.6911,11.7351
6.486902222,0.592818406,0.880341021,-1.005950302,25.89588865,14.6574,11.719
6.472192716,0.576841017,1.35758036,-1.190801979,25.88418789,14.6168,11.6936
6.457562228,0.48894589,1.465331721,-1.26435987,25.87252003,14.5678,11.6596
6.442047708,0.7904234,0.409288533,-1.452598669,25.86083903,14.5088,11.6181
6.42571707,1.550326847,1.036305104,-1.75149765,25.84914863,14.4381,11.5701
6.408864117,3.166281272,0.744501765,-2.047109576,25.83746242,14.3565,11.5179
6.391274895,5.844510666,0.617630345,-2.389186274,25.82577037,14.273,11.4692
6.373848406,4.797871298,0.575415917,-2.511252303,25.81411668,14.1991,11.4326
6.356640765,-0.233964407,0.72689954,-2.382080077,25.80250418,14.1461,11.417
6.339041778,-0.835254251,0.331503884,-2.166194774,25.79090336,14.1217,11.4281
6.321263182,2.37733863,-0.267725987,-1.790200582,25.77932476,14.1168,11.4572
6.301547535,4.44572156,1.02088522,-1.365831707,25.76767739,14.1173,11.4912
6.279665976,6.858469376,-1.226604466,-0.907480643,25.75594976,14.1078,11.5157
6.256606161,7.0707026,0.845004298,-0.296505801,25.74419274,14.0778,11.5204
6.231855586,4.249177423,0.543482296,0.443104722,25.73237997,14.0391,11.5141
6.206292251,3.158012612,-1.166086495,0.931224099,25.72055753,14.0081,11.5097
6.17998097,3.166396297,-1.502795098,1.147688949,25.70872888,14.0005,11.5195
6.152022952,3.396071183,0.678268936,1.25678954,25.69684739,14.0257,11.5513
6.122585559,4.695991817,-0.949617474,1.156118145,25.68492195,14.066,11.5914
6.093149734,4.553644536,-1.28878176,1.138958853,25.67302864,14.0938,11.6189
6.063714021,2.919023993,-1.136193339,1.22228791,25.66116742,14.0792,11.611
6.033662963,2.558535219,-1.183069118,1.171563959,25.64930698,13.9991,11.5508
6.003355836,3.062109055,-1.502882629,1.049951894,25.63746584,13.8541,11.4409
5.971675345,2.913763469,-1.630259955,1.439234476,25.62558666,13.6475,11.2863
5.938538547,2.497907902,-2.000369081,2.370257328,25.6136653,13.3751,11.0861
5.9047906,1.384780881,-1.964669834,3.613353058,25.6017453,13.0341,10.8393
5.870174054,-0.695065303,-1.543628831,5.328706568,25.58981351,12.6609,10.5678
5.837108888,-0.565802815,-3.031819519,5.302507912,25.57800553,12.3059,10.3032
5.805930812,1.842819702,-2.400278578,3.3351882,25.56633986,12.0241,10.0807
5.775318356,0.575495913,-2.443194154,0.617636379,25.55474351,11.8606,9.9312
5.745994502,-4.061523237,-2.372213526,-3.455514695,25.54325696,11.7984,9.8504
5.716765477,-3.969921663,-3.017158899,-5.581497542,25.53181263,11.7947,9.8167
5.687565204,0.189903373,-3.607405898,-5.440469697,25.52040702,11.7972,9.8009
5.659653138,2.338862532,-2.291187078,-5.136439691,25.5091111,11.7653,9.7786
5.632819355,3.762151693,-1.928681507,-3.804202609,25.49791307,11.713,9.7519
5.605005048,0.485488339,-4.157791828,-2.759400878,25.48669932,11.6665,9.7293
5.576229106,-8.90421091,-3.457531778,-2.219957614,25.4754712,11.6461,9.7141
